ID,WRKSTAT,MARITAL,SPWRKSTA,SIBS,CHILDS,AGE,SEX,INCOM16,POLVIEWS,CAPPUN,COURTS,GRASS,RELITEN,POSTLIFE,PRAY,HAPPY,HAPMAR,HEALTH1,LIFE,HELPFUL,FAIR,TRUST,CONBUS,CONCLERG,CONEDUC,CONPRESS,CONMEDIC,SOCREL,SOCFREND,SOCBAR,AGED,CHLDIDEL,PILLOK,SEXEDUC,DIVLAW,PREMARSX,XMARSEX,OWNGUN,NEWS,TVHOURS,NEWSFROM,SCIFROM,ASTROLGY,SCIBNFTS,COLDEG1,USWAR,USWARY
1949,4,1,1,12,0,53,1,2,NA,1,2,2,4,NA,6,2,2,3,NA,2,3,2,3,2,2,2,3,3,2,7,1,8,2,1,2,4,NA,NA,1,4,5,5,1,NA,NA,1,NA
1950,1,1,1,2,2,58,2,3,5,2,3,2,1,1,5,1,1,NA,2,1,2,1,2,1,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,3,3,1,1,2,NA,NA
1951,2,5,NA,2,0,40,1,3,3,2,NA,2,4,2,6,3,NA,2,NA,2,1,3,1,2,2,2,1,6,6,7,2,2,2,1,2,4,NA,NA,4,0,NA,NA,NA,NA,NA,1,NA
1952,1,1,1,4,0,45,2,3,2,NA,3,NA,4,1,3,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,2,2,1,3,4,1,2,2,0,NA,NA,NA,NA,NA,NA,2
1953,1,3,NA,6,3,62,2,NA,3,1,2,2,1,1,2,2,NA,4,NA,1,2,2,3,2,2,3,2,5,4,7,1,3,3,1,NA,4,NA,NA,2,3,4,2,1,1,1,1,NA
1954,1,5,NA,2,0,28,2,3,4,2,3,1,3,1,6,1,NA,NA,1,1,2,2,2,2,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,5,3,2,1,1,NA,NA
1955,5,2,NA,1,2,74,1,3,6,1,2,NA,2,1,4,2,NA,4,NA,1,2,2,2,2,2,2,2,3,2,7,2,2,2,1,2,4,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA
1956,1,1,1,3,2,60,1,1,4,1,2,2,2,1,4,1,1,NA,1,1,2,1,3,3,2,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,5,3,1,1,NA,NA,NA
1957,1,3,NA,6,0,42,1,3,2,1,2,2,2,NA,5,2,NA,2,NA,1,2,1,2,2,2,2,2,3,3,4,1,2,3,1,1,4,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA
1958,1,1,1,1,3,36,2,3,5,1,2,2,4,1,2,2,1,NA,1,1,2,1,1,1,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,6,2,2,1,8,NA,NA
